drug1, drug2, mechanism, action, property, description
Celecoxib,Fesoterodine,increase,2/1,M,The serum concentration of the active metabolites of Celecoxib can be increased when Fesoterodine is used in combination with Celecoxib
Ceritinib,Iloperidone,increase,2/1,M,The serum concentration of the active metabolites of Ceritinib can be increased when Iloperidone is used in combination with Ceritinib
Cevimeline,Fosphenytoin,increase,2/1,M,The metabolism of Cevimeline can be increased when combined with Fosphenytoin
Cevimeline,Lumacaftor,increase,2/1,M,The metabolism of Cevimeline can be increased when combined with Lumacaftor
Chenodeoxycholicacid,Fosphenytoin,increase,2/1,M,The metabolism of Chenodeoxycholicacid can be increased when combined with Fosphenytoin
Chenodeoxycholicacid,Lumacaftor,increase,2/1,M,The metabolism of Chenodeoxycholicacid can be increased when combined with Lumacaftor
Chloroquine,Fesoterodine,increase,2/1,M,The serum concentration of the active metabolites of Chloroquine can be increased when Fesoterodine is used in combination with Chloroquine
Chlorphenamine,Lumacaftor,increase,2/1,M,The metabolism of Chlorphenamine can be increased when combined with Lumacaftor
Chlorpromazine,Dabigatranetexilate,increase,2/1,M,The serum concentration of the active metabolites of Chlorpromazine can be increased when Dabigatranetexilate is used in combination with Chlorpromazine
Chlorpromazine,Fosphenytoin,increase,2/1,M,The metabolism of Chlorpromazine can be increased when combined with Fosphenytoin
Chlorpropamide,Dabigatranetexilate,increase,2/1,M,The serum concentration of the active metabolites of Chlorpropamide can be increased when Dabigatranetexilate is used in combination with Chlorpropamide
Cholecalciferol,Fesoterodine,increase,2/1,M,The serum concentration of the active metabolites of Cholecalciferol can be increased when Fesoterodine is used in combination with Cholecalciferol
Cimetidine,Fesoterodine,increase,2/1,M,The serum concentration of the active metabolites of Cimetidine can be increased when Fesoterodine is used in combination with Cimetidine
Cinacalcet,Deutetrabenazine,increase,2/1,M,The serum concentration of the active metabolites of Cinacalcet can be increased when Deutetrabenazine is used in combination with Cinacalcet
Cinacalcet,Fosphenytoin,increase,2/1,M,The metabolism of Cinacalcet can be increased when combined with Fosphenytoin
Cinacalcet,Lumacaftor,increase,2/1,M,The metabolism of Cinacalcet can be increased when combined with Lumacaftor
Cinnarizine,Fosphenytoin,increase,2/1,M,The metabolism of Cinnarizine can be increased when combined with Fosphenytoin
Cinnarizine,Hexobarbital,increase,2/1,M,The metabolism of Cinnarizine can be increased when combined with Hexobarbital
Cinnarizine,Methylphenobarbital,increase,2/1,M,The metabolism of Cinnarizine can be increased when combined with Methylphenobarbital
Ciprofloxacin,Dabigatranetexilate,increase,2/1,M,The serum concentration of the active metabolites of Ciprofloxacin can be increased when Dabigatranetexilate is used in combination with Ciprofloxacin
Cisapride,Fosphenytoin,increase,2/1,M,The metabolism of Cisapride can be increased when combined with Fosphenytoin
Citalopram,Fesoterodine,increase,2/1,M,The serum concentration of the active metabolites of Citalopram can be increased when Fesoterodine is used in combination with Citalopram
Clarithromycin,Fosphenytoin,increase,2/1,M,The serum concentration of the active metabolites of Clarithromycin can be increased when Fosphenytoin is used in combination with Clarithromycin
Clarithromycin,Iloperidone,increase,2/1,M,The serum concentration of the active metabolites of Clarithromycin can be increased when Iloperidone is used in combination with Clarithromycin
Clemastine,Fesoterodine,increase,2/1,M,The serum concentration of the active metabolites of Clemastine can be increased when Fesoterodine is used in combination with Clemastine
Clevidipine,Hexobarbital,increase,2/1,M,The metabolism of Clevidipine can be increased when combined with Hexobarbital
Clevidipine,Methylphenobarbital,increase,2/1,M,The metabolism of Clevidipine can be increased when combined with Methylphenobarbital
Clofazimine,Dabigatranetexilate,increase,2/1,M,The serum concentration of the active metabolites of Clofazimine can be increased when Dabigatranetexilate is used in combination with Clofazimine
Clomipramine,Fesoterodine,increase,2/1,M,The serum concentration of the active metabolites of Clomipramine can be increased when Fesoterodine is used in combination with Clomipramine
Cocaine,Fesoterodine,increase,2/1,M,The serum concentration of the active metabolites of Cocaine can be increased when Fesoterodine is used in combination with Cocaine
Cocaine,Lumacaftor,increase,2/1,M,The metabolism of Cocaine can be increased when combined with Lumacaftor
Codeine,Fesoterodine,increase,2/1,M,The serum concentration of the active metabolites of Codeine can be increased when Fesoterodine is used in combination with Codeine
Colchicine,Fosphenytoin,increase,2/1,M,The metabolism of Colchicine can be increased when combined with Fosphenytoin
Conivaptan,Fosphenytoin,increase,2/1,M,The metabolism of Conivaptan can be increased when combined with Fosphenytoin
Conivaptan,Lumacaftor,increase,2/1,M,The metabolism of Conivaptan can be increased when combined with Lumacaftor
Copanlisib,Fosphenytoin,increase,2/1,M,The metabolism of Copanlisib can be increased when combined with Fosphenytoin
Cortisoneacetate,Fosphenytoin,increase,2/1,M,The metabolism of Cortisoneacetate can be increased when combined with Fosphenytoin
Cortisoneacetate,Lumacaftor,increase,2/1,M,The metabolism of Cortisoneacetate can be increased when combined with Lumacaftor
Crizotinib,Dabigatranetexilate,increase,2/1,M,The serum concentration of the active metabolites of Crizotinib can be increased when Dabigatranetexilate is used in combination with Crizotinib
Cyclobenzaprine,Fosphenytoin,increase,2/1,M,The metabolism of Cyclobenzaprine can be increased when combined with Fosphenytoin
Cyclobenzaprine,Hexobarbital,increase,2/1,M,The metabolism of Cyclobenzaprine can be increased when combined with Hexobarbital
Cyclobenzaprine,Lumacaftor,increase,2/1,M,The metabolism of Cyclobenzaprine can be increased when combined with Lumacaftor
Cyclobenzaprine,Methylphenobarbital,increase,2/1,M,The metabolism of Cyclobenzaprine can be increased when combined with Methylphenobarbital
Cyclophosphamide,Dabigatranetexilate,increase,2/1,M,The serum concentration of the active metabolites of Cyclophosphamide can be increased when Dabigatranetexilate is used in combination with Cyclophosphamide
Cyclosporine,Hexobarbital,increase,2/1,M,The metabolism of Cyclosporine can be increased when combined with Hexobarbital
Cytarabine,Fosphenytoin,increase,2/1,M,The metabolism of Cytarabine can be increased when combined with Fosphenytoin
Cytarabine,Lumacaftor,increase,2/1,M,The metabolism of Cytarabine can be increased when combined with Lumacaftor
Dabigatranetexilate,Dasatinib,increase,2/1,M,The serum concentration of the active metabolites of Dabigatranetexilate can be increased when Dasatinib is used in combination with Dabigatranetexilate
Dabigatranetexilate,Desloratadine,increase,2/1,M,The serum concentration of the active metabolites of Dabigatranetexilate can be increased when Desloratadine is used in combination with Dabigatranetexilate
Dabigatranetexilate,Dextromethorphan,increase,2/1,M,The serum concentration of the active metabolites of Dabigatranetexilate can be increased when Dextromethorphan is used in combination with Dabigatranetexilate
Dabigatranetexilate,Dihydroergotamine,increase,2/1,M,The serum concentration of the active metabolites of Dabigatranetexilate can be increased when Dihydroergotamine is used in combination with Dabigatranetexilate
Dabigatranetexilate,Doxazosin,increase,2/1,M,The serum concentration of the active metabolites of Dabigatranetexilate can be increased when Doxazosin is used in combination with Dabigatranetexilate
Dabigatranetexilate,Dronabinol,increase,2/1,M,The serum concentration of the active metabolites of Dabigatranetexilate can be increased when Dronabinol is used in combination with Dabigatranetexilate
Dabigatranetexilate,Enasidenib,increase,2/1,M,The serum concentration of the active metabolites of Dabigatranetexilate can be increased when Enasidenib is used in combination with Dabigatranetexilate
Dabigatranetexilate,Ergonovine,increase,2/1,M,The serum concentration of the active metabolites of Dabigatranetexilate can be increased when Ergonovine is used in combination with Dabigatranetexilate
Dabigatranetexilate,Erythromycin,increase,2/1,M,The serum concentration of the active metabolites of Dabigatranetexilate can be increased when Erythromycin is used in combination with Dabigatranetexilate
Dabigatranetexilate,Estramustine,increase,2/1,M,The serum concentration of the active metabolites of Dabigatranetexilate can be increased when Estramustine is used in combination with Dabigatranetexilate
Dabigatranetexilate,Felodipine,increase,2/1,M,The serum concentration of the active metabolites of Dabigatranetexilate can be increased when Felodipine is used in combination with Dabigatranetexilate
Dabigatranetexilate,Fexofenadine,increase,2/1,M,The serum concentration of the active metabolites of Dabigatranetexilate can be increased when Fexofenadine is used in combination with Dabigatranetexilate
Dabigatranetexilate,Flupentixol,increase,2/1,M,The serum concentration of the active metabolites of Dabigatranetexilate can be increased when Flupentixol is used in combination with Dabigatranetexilate
Dabigatranetexilate,Flurazepam,increase,2/1,M,The serum concentration of the active metabolites of Dabigatranetexilate can be increased when Flurazepam is used in combination with Dabigatranetexilate
Dabigatranetexilate,Gefitinib,increase,2/1,M,The serum concentration of the active metabolites of Dabigatranetexilate can be increased when Gefitinib is used in combination with Dabigatranetexilate
Dabigatranetexilate,Glycerin,increase,2/1,M,The serum concentration of the active metabolites of Dabigatranetexilate can be increased when Glycerin is used in combination with Dabigatranetexilate
Dabigatranetexilate,Hydrocortisone,increase,2/1,M,The serum concentration of the active metabolites of Dabigatranetexilate can be increased when Hydrocortisone is used in combination with Dabigatranetexilate
Dabigatranetexilate,Imipramine,increase,2/1,M,The serum concentration of the active metabolites of Dabigatranetexilate can be increased when Imipramine is used in combination with Dabigatranetexilate
Dabigatranetexilate,Isavuconazole,increase,2/1,M,The serum concentration of the active metabolites of Dabigatranetexilate can be increased when Isavuconazole is used in combination with Dabigatranetexilate
Dabigatranetexilate,Ivacaftor,increase,2/1,M,The serum concentration of the active metabolites of Dabigatranetexilate can be increased when Ivacaftor is used in combination with Dabigatranetexilate
Dabigatranetexilate,Ketamine,increase,2/1,M,The serum concentration of the active metabolites of Dabigatranetexilate can be increased when Ketamine is used in combination with Dabigatranetexilate
Dabigatranetexilate,Lapatinib,increase,2/1,M,The serum concentration of the active metabolites of Dabigatranetexilate can be increased when Lapatinib is used in combination with Dabigatranetexilate
Dabigatranetexilate,Lidocaine,increase,2/1,M,The serum concentration of the active metabolites of Dabigatranetexilate can be increased when Lidocaine is used in combination with Dabigatranetexilate
Dabigatranetexilate,Loperamide,increase,2/1,M,The serum concentration of the active metabolites of Dabigatranetexilate can be increased when Loperamide is used in combination with Dabigatranetexilate
